raw_name,name_ja
fire blast,だいもんじ
fire punch,ほのおのパンチ
fire spin,ほのおのうず
fissure,じわれ
flail,じたばた
flame wheel,かえんぐるま
flamethrower,かえんほうしゃ
flash,フラッシュ
flatter,おだてる
fly,そらをとぶ
focus energy,きあいだめ
focus punch,きあいパンチ
follow me,このゆびとまれ
foresight,みやぶる
frustration,やつあたり
fury attack,みだれづき
fury cutter,れんぞくぎり
fury swipes,みだれひっかき
future sight,みらいよち
giga drain,ギガドレイン
glare,へびにらみ
grass whistle,くさぶえ
growl,なきごえ
growth,せいちょう
grudge,おんねん
guillotine,ハサミギロチン
gust,かぜおこし
hail,あられ
harden,かたくなる
haze,くろいきり
headbutt,ずつき
heal bell,いやしのすず
heat wave,ねっぷう
helping hand,てだすけ
hidden power,めざめるパワー
high jump kick,とびひざげり
horn attack,つのでつく
horn drill,つのドリル
howl,とおぼえ
hydro pump,ハイドロポンプ
hyper beam,はかいこうせん
hyper fang,ひっさつまえば
hyper voice,ハイパーボイス
hypnosis,さいみんじゅつ
ice ball,アイスボール
ice beam,れいとうビーム
ice punch,れいとうパンチ
icicle spear,つららばり
icy wind,こごえるかぜ
imprison,ふういん
ingrain,ねをはる
iron defense,てっぺき
iron tail,アイアンテール
jump kick,とびげり
karate chop,からてチョップ
kinesis,スプーンまげ
knock off,はたきおとす
leaf blade,リーフブレード
leech life,きゅうけつ
leech seed,やどりぎのタネ
leer,にらみつける
lick,したでなめる
light screen,ひかりのかべ
lock on,ロックオン
lovely kiss,あくまのキッス
low kick,けたぐり
luster purge,ラスターパージ
mach punch,マッハパンチ
magic coat,マジックコート
magical leaf,マジカルリーフ
magnitude,マグニチュード
mean look,くろいまなざし
meditate,ヨガのポーズ
mega drain,メガドレイン
mega kick,メガトンキック
mega punch,メガトンパンチ
megahorn,メガホーン
memento,おきみやげ
metal claw,メタルクロー
metal sound,きんぞくおん
meteor mash,コメットパンチ
metronome,ゆびをふる
milk drink,ミルクのみ
mimic,ものまね
mind reader,こころのめ
minimize,ちいさくなる
mirror coat,ミラーコート
mirror move,オウムがえし
mist,しろいきり
mist ball,ミストボール
moonlight,つきのひかり
morning sun,あさのひざし
mud shot,マッドショット
mud slap,どろかけ
mud sport,どろあそび
muddy water,だくりゅう
nature power,しぜんのちから
needle arm,ニードルアーム
night shade,ナイトヘッド
nightmare,あくむ
octazooka,オクタンほう
odor sleuth,かぎわける
outrage,げきりん
overheat,オーバーヒート
pain split,いたみわけ
pay day,ネコにこばん
peck,つつく
perish song,ほろびのうた
petal dance,はなびらのまい
pin missile,ミサイルばり
poison fang,どくどくのキバ
poison gas,どくガス
poison powder,どくのこな
poison sting,どくばり
poison tail,ポイズンテール
pound,はたく
powder snow,こなゆき
present,プレゼント
protect,まもる
psybeam,サイケこうせん
psych up,じこあんじ
psychic,サイコキネシス
psywave,サイコウェーブ
pursuit,おいうち
quick attack,でんこうせっか
rage,いかり
rain dance,あまごい
rapid spin,こうそくスピン
razor leaf,はっぱカッター
razor wind,かまいたち
recover,じこさいせい
recycle,リサイクル
reflect,リフレクター
refresh,リフレッシュ
rest,ねむる
return,おんがえし
revenge,リベンジ
reversal,きしかいせい
roar,ほえる
rock blast,ロックブラスト
rock slide,いわなだれ
rock smash,いわくだき
rock throw,いわおとし
rock tomb,がんせきふうじ
role play,なりきり
rolling kick,まわしげり
rollout,ころがる
sacred fire,せいなるほのお
safeguard,しんぴのまもり
sand attack,すなかけ
sand tomb,すなじごく
sandstorm,すなあらし
scary face,こわいかお
scratch,ひっかく
screech,いやなおと
secret power,ひみつのちから
seismic toss,ちきゅうなげ
self destruct,じばく
shadow ball,シャドーボール
shadow punch,シャドーパンチ
sharpen,かくばる
sheer cold,ぜったいれいど
shock wave,でんげきは
signal beam,シグナルビーム
silver wind,ぎんいろのかぜ
sing,うたう
sketch,スケッチ
skill swap,スキルスワップ
skull bash,ロケットずつき
sky attack,ゴッドバード
sky uppercut,スカイアッパー
slack off,なまける
slam,たたきつける
slash,きりさく
sleep powder,ねむりごな
sleep talk,ねごと
sludge,ヘドロこうげき
sludge bomb,ヘドロばくだん
smelling salts,きつけ
smog,スモッグ
smokescreen,えんまく
snatch,よこどり
snore,いびき
soft boiled,タマゴうみ
solar beam,ソーラービーム
sonic boom,ソニックブーム
spark,スパーク
spider web,クモのす
spike cannon,とげキャノン
spikes,まきびし
spit up,はきだす
spite,うらみ
splash,はねる
spore,キノコのほうし
steel wing,はがねのつばさ
stockpile,たくわえる
stomp,ふみつけ
strength,かいりき
string shot,いとをはく
stun spore,しびれごな
submission,じごくぐるま
substitute,みがわり
sunny day,にほんばれ
super fang,いかりのまえば
superpower,ばかぢから
supersonic,ちょうおんぱ
surf,なみのり
swagger,いばる
swallow,のみこむ
sweet kiss,てんしのキッス
sweet scent,あまいかおり
swift,スピードスター
swords dance,つるぎのまい
synthesis,こうごうせい
tackle,たいあたり
tail glow,ほたるび
tail whip,しっぽをふる
take down,とっしん
taunt,ちょうはつ
teeter dance,フラフラダンス
teleport,テレポート
thief,どろぼう
thrash,あばれる
thunder,かみなり
thunder punch,かみなりパンチ
thunder shock,でんきショック
thunder wave,でんじは
thunderbolt,１０まんボルト
tickle,くすぐる
torment,いちゃもん
toxic,どくどく
transform,へんしん
tri attack,トライアタック
trick,トリック
triple kick,トリプルキック
twineedle,ダブルニードル
twister,たつまき
uproar,さわぐ
vice grip,はさむ
vine whip,つるのムチ
vital throw,あてみなげ
water gun,みずでっぽう
water pulse,みずのはどう
water sport,みずあそび
water spout,しおふき
waterfall,たきのぼり
weather ball,ウェザーボール
whirlpool,うずしお
whirlwind,ふきとばし
will o wisp,おにび
wing attack,つばさでうつ
wish,ねがいごと
withdraw,からにこもる
wrap,まきつく
yawn,あくび
zap cannon,でんじほう
