pokemon_id,sort_order,level,move
14,20,7,harden
15,10,1,fury attack
15,20,10,fury attack
15,70,15,focus energy
15,30,20,twineedle
15,60,25,rage
15,80,30,pursuit
15,40,35,pin missile
15,50,40,agility
15,90,45,endeavor
16,50,1,tackle
16,40,5,sand attack
16,10,9,gust
16,70,13,quick attack
16,30,19,whirlwind
16,20,25,wing attack
16,90,31,feather dance
16,60,39,agility
16,80,47,mirror move
17,10,1,gust
17,50,1,sand attack
17,70,1,tackle
17,60,5,sand attack
17,20,9,gust
17,90,13,quick attack
17,40,20,whirlwind
17,30,27,wing attack
17,110,34,feather dance
17,80,43,agility
17,100,52,mirror move
18,10,1,gust
18,50,1,sand attack
18,70,1,tackle
18,90,1,quick attack
18,60,5,sand attack
18,20,9,gust
18,100,13,quick attack
18,40,20,whirlwind
18,30,27,wing attack
18,120,34,feather dance
18,80,48,agility
18,110,62,mirror move
19,10,1,tackle
19,20,1,tail whip
19,30,7,quick attack
19,50,13,hyper fang
19,40,20,focus energy
19,70,27,pursuit
19,60,34,super fang
19,80,41,endeavor
20,10,1,tackle
20,20,1,tail whip
20,30,1,quick attack
20,40,7,quick attack
20,50,13,hyper fang
20,70,20,scary face
20,80,30,pursuit
20,60,40,super fang
20,90,50,endeavor
21,30,1,growl
21,40,1,peck
21,20,7,leer
21,10,13,fury attack
21,80,19,pursuit
21,90,25,aerial ace
21,70,31,mirror move
21,50,37,drill peck
21,60,43,agility
22,10,1,fury attack
22,30,1,leer
22,50,1,growl
22,60,1,peck
22,40,7,leer
22,20,13,fury attack
22,100,26,pursuit
22,90,32,mirror move
22,70,40,drill peck
22,80,47,agility
23,10,1,wrap
23,30,1,leer
23,20,8,poison sting
23,40,13,bite
23,80,20,glare
23,60,25,screech
23,50,32,acid
23,90,37,stockpile
23,100,37,spit up
23,110,37,swallow
23,70,44,haze
24,10,1,wrap
24,20,1,poison sting
24,40,1,leer
24,50,1,bite
24,30,8,poison sting
24,60,13,bite
24,100,20,glare
24,80,28,screech
24,70,38,acid
24,110,46,stockpile
24,120,46,spit up
24,130,46,swallow
24,90,56,haze
25,30,1,growl
25,40,1,thunder shock
25,20,6,tail whip
25,60,8,thunder wave
25,90,11,quick attack
25,100,15,double team
25,10,20,slam
25,50,26,thunderbolt
25,80,33,agility
25,70,41,thunder
25,110,50,light screen
26,10,1,tail whip
26,20,1,thunder shock
26,30,1,thunderbolt
26,40,1,quick attack
27,10,1,scratch
27,40,6,defense curl
27,20,11,sand attack
27,30,17,poison sting
27,70,23,slash
27,50,30,swift
27,60,37,fury swipes
27,90,45,sand tomb
27,80,53,sandstorm
28,10,1,scratch
28,20,1,sand attack
28,50,1,defense curl
28,60,6,defense curl
28,30,11,sand attack
28,40,17,poison sting
28,90,24,slash
28,70,33,swift
28,80,42,fury swipes
28,110,52,sand tomb
28,100,62,sandstorm
29,10,1,scratch
29,60,1,growl
29,30,8,tail whip
29,20,12,double kick
29,40,17,poison sting
29,50,20,bite
29,100,23,helping hand
29,70,30,fury swipes
29,90,38,flatter
29,80,47,crunch
30,10,1,scratch
30,60,1,growl
30,30,8,tail whip
30,20,12,double kick
30,40,18,poison sting
30,50,22,bite
30,100,26,helping hand
30,70,34,fury swipes
30,90,43,flatter
30,80,53,crunch
31,10,1,scratch
31,20,1,double kick
31,40,1,tail whip
31,50,1,poison sting
31,30,22,body slam
31,60,43,superpower
32,60,1,leer
32,70,1,peck
32,80,8,focus energy
32,10,12,double kick
32,50,17,poison sting
32,20,20,horn attack
32,100,23,helping hand
32,30,30,fury attack
32,90,38,flatter
32,40,47,horn drill
33,60,1,leer
33,70,1,peck
33,80,8,focus energy
33,10,12,double kick
33,50,18,poison sting
33,20,22,horn attack
33,100,26,helping hand
33,30,34,fury attack
33,90,43,flatter
33,40,53,horn drill
34,10,1,double kick
34,30,1,poison sting
34,40,1,peck
34,50,1,focus energy
34,20,22,thrash
34,60,43,megahorn
35,10,1,pound
35,30,1,growl
35,90,5,encore
35,40,9,sing
35,20,13,double slap
35,110,17,follow me
35,50,21,minimize
35,60,25,defense curl
35,80,29,metronome
35,130,33,cosmic power
35,100,37,moonlight
35,70,41,light screen
35,120,45,meteor mash
36,10,1,double slap
36,20,1,sing
36,30,1,minimize
36,40,1,metronome
37,30,1,ember
37,10,5,tail whip
37,20,9,roar
37,60,13,quick attack
37,90,17,will o wisp
37,70,21,confuse ray
37,100,25,imprison
37,40,29,flamethrower
37,80,33,safeguard
37,110,37,grudge
37,50,41,fire spin
38,10,1,ember
38,30,1,quick attack
38,40,1,confuse ray
38,50,1,safeguard
38,20,45,fire spin
39,50,1,sing
39,80,4,defense curl
39,10,9,pound
39,60,14,disable
39,100,19,rollout
39,20,24,double slap
39,90,29,rest
39,30,34,body slam
39,70,39,mimic
39,110,44,hyper voice
39,40,49,double edge
40,10,1,double slap
40,20,1,sing
40,30,1,disable
40,40,1,defense curl
41,60,1,leech life
41,90,6,astonish
41,30,11,supersonic
41,20,16,bite
41,10,21,wing attack
41,40,26,confuse ray
41,100,31,air cutter
41,70,36,mean look
41,80,41,poison fang
41,50,46,haze
42,30,1,supersonic
42,50,1,screech
42,80,1,leech life
42,110,1,astonish
42,120,6,astonish
42,40,11,supersonic
42,20,16,bite
42,10,21,wing attack
42,60,28,confuse ray
42,130,35,air cutter
42,90,42,mean look
42,100,49,poison fang
42,70,56,haze
43,20,1,absorb
43,70,7,sweet scent
43,30,14,poison powder
43,40,16,stun spore
43,50,18,sleep powder
43,10,23,acid
43,80,32,moonlight
43,60,39,petal dance
44,20,1,absorb
44,30,1,poison powder
44,80,1,sweet scent
44,90,7,sweet scent
44,40,14,poison powder
44,50,16,stun spore
44,60,18,sleep powder
44,10,24,acid
44,100,35,moonlight
44,70,44,petal dance
45,10,1,absorb
45,20,1,mega drain
45,30,1,stun spore
45,50,1,aromatherapy
45,40,44,petal dance
46,10,1,scratch
46,40,7,stun spore
46,30,13,poison powder
46,50,19,leech life
46,60,25,spore
46,70,31,slash
46,20,37,growth
46,80,43,giga drain
46,90,49,aromatherapy
47,10,1,scratch
47,30,1,poison powder
47,50,1,stun spore
47,60,7,stun spore
47,40,13,poison powder
47,70,19,leech life
47,80,27,spore
47,90,35,slash
47,20,43,growth
47,100,51,giga drain
47,110,59,aromatherapy
48,10,1,tackle
48,30,1,disable
48,110,1,foresight
48,20,9,supersonic
48,80,17,confusion
48,50,20,poison powder
48,100,25,leech life
48,60,28,stun spore
48,40,33,psybeam
48,70,36,sleep powder
48,90,41,psychic
49,20,1,tackle
49,30,1,supersonic
49,50,1,disable
49,130,1,foresight
49,140,1,silver wind
49,40,9,supersonic
49,100,17,confusion
49,70,20,poison powder
49,120,25,leech life
49,80,28,stun spore
49,10,31,gust
49,60,36,psybeam
49,90,42,sleep powder
49,110,52,psychic
50,10,1,scratch
50,20,1,sand attack
50,30,5,growl
50,100,9,magnitude
50,60,17,dig
50,70,21,fury swipes
50,90,25,mud slap
50,80,33,slash
50,40,41,earthquake
50,50,49,fissure
51,10,1,scratch
51,20,1,sand attack
51,30,1,growl
51,90,1,tri attack
51,40,5,growl
51,120,9,magnitude
51,70,17,dig
51,80,21,fury swipes
51,110,25,mud slap
51,130,26,sand tomb
51,100,38,slash
51,50,51,earthquake
51,60,64,fissure
52,20,1,scratch
52,40,1,growl
52,30,10,bite
52,10,18,pay day
52,80,25,feint attack
52,50,31,screech
52,60,36,fury swipes
52,70,40,slash
52,100,43,fake out
52,90,45,swagger
53,20,1,scratch
53,30,1,bite
53,50,1,growl
53,40,10,bite
53,10,18,pay day
53,90,25,feint attack
53,60,34,screech
53,70,42,fury swipes
53,80,49,slash
53,110,55,fake out
53,100,61,swagger
54,10,1,scratch
54,90,1,water sport
54,20,5,tail whip
54,30,10,disable
54,50,16,confusion
54,60,23,screech
54,80,31,psych up
54,70,40,fury swipes
54,40,50,hydro pump
55,10,1,scratch
55,20,1,tail whip
55,40,1,disable
55,110,1,water sport
55,30,5,tail whip
55,50,10,disable
55,70,16,confusion
55,80,23,screech
55,100,31,psych up
55,90,44,fury swipes
55,60,58,hydro pump
56,20,1,scratch
56,40,1,leer
56,50,6,low kick
56,10,11,karate chop
56,90,16,fury swipes
56,80,21,focus energy
56,60,26,seismic toss
56,110,31,cross chop
56,100,36,swagger
56,70,41,screech
56,30,46,thrash
57,20,1,scratch
57,40,1,leer
57,50,1,low kick
57,80,1,rage
57,60,6,low kick
57,10,11,karate chop
57,120,16,fury swipes
57,110,21,focus energy
57,70,26,seismic toss
57,90,28,rage
57,140,35,cross chop
57,130,44,swagger
57,100,53,screech
57,30,62,thrash
58,30,1,bite
58,40,1,roar
58,50,7,ember
58,20,13,leer
58,100,19,odor sleuth
58,10,25,take down
58,80,31,flame wheel
58,90,37,helping hand
58,70,43,agility
58,60,49,flamethrower
59,10,1,bite
59,20,1,roar
59,30,1,ember
59,50,1,odor sleuth
59,40,49,extreme speed
60,60,1,bubble
60,50,7,hypnosis
60,30,13,water gun
60,10,19,double slap
60,80,25,rain dance
60,20,31,body slam
60,70,37,belly drum
60,40,43,hydro pump
61,30,1,water gun
61,60,1,hypnosis
61,80,1,bubble
61,70,7,hypnosis
61,40,13,water gun
61,10,19,double slap
61,100,27,rain dance
61,20,35,body slam
61,90,43,belly drum
61,50,51,hydro pump
62,10,1,double slap
62,20,1,water gun
62,30,1,submission
62,50,1,hypnosis
62,40,35,submission
62,60,51,mind reader
63,10,1,teleport
64,30,1,confusion
64,60,1,teleport
64,90,1,kinesis
64,40,16,confusion
64,10,18,disable
64,20,21,psybeam
64,80,23,reflect
64,70,25,recover
64,100,30,future sight
64,120,33,role play
64,50,36,psychic
64,110,43,trick
65,30,1,confusion
65,60,1,teleport
65,90,1,kinesis
65,40,16,confusion
65,10,18,disable
65,20,21,psybeam
65,80,23,reflect
65,70,25,recover
65,100,30,future sight
65,120,33,calm mind
65,50,36,psychic
65,110,43,trick
66,20,1,leer
66,40,1,low kick
66,60,7,focus energy
66,10,13,karate chop
66,50,19,seismic toss
66,80,22,foresight
66,120,25,revenge
66,100,31,vital throw
66,30,37,submission
66,110,40,cross chop
66,70,43,scary face
66,90,49,dynamic punch
67,20,1,leer
67,40,1,low kick
67,60,1,focus energy
67,70,7,focus energy
67,10,13,karate chop
67,50,19,seismic toss
67,90,22,foresight
67,130,25,revenge
67,110,33,vital throw
67,30,41,submission
67,120,46,cross chop
67,80,51,scary face
67,100,59,dynamic punch
68,20,1,leer
68,40,1,low kick
68,60,1,focus energy
68,70,7,focus energy
68,10,13,karate chop
68,50,19,seismic toss
68,90,22,foresight
68,130,25,revenge
68,110,33,vital throw
68,30,41,submission
68,120,46,cross chop
68,80,51,scary face
68,100,59,dynamic punch
69,20,1,vine whip
69,50,6,growth
69,30,11,wrap
69,90,15,sleep powder
69,70,17,poison powder
69,80,19,stun spore
69,40,23,acid
69,100,30,sweet scent
69,60,37,razor leaf
69,10,45,slam
70,20,1,vine whip
70,30,1,wrap
70,60,1,growth
70,70,6,growth
70,40,11,wrap
70,110,15,sleep powder
70,90,17,poison powder
70,100,19,stun spore
70,50,24,acid
70,120,33,sweet scent
70,80,42,razor leaf
70,10,54,slam
71,10,1,vine whip
71,20,1,razor leaf
71,30,1,sleep powder
71,40,1,sweet scent
71,50,1,stockpile
71,60,1,spit up
71,70,1,swallow
72,20,1,poison sting
72,30,6,supersonic
72,90,12,constrict
72,40,19,acid
72,60,25,bubble beam
72,10,30,wrap
72,80,36,barrier
72,70,43,screech
72,50,49,hydro pump
73,20,1,poison sting
73,30,1,supersonic
73,100,1,constrict
73,40,6,supersonic
73,110,12,constrict
73,50,19,acid
73,70,25,bubble beam
73,10,30,wrap
73,90,38,barrier
73,80,47,screech
73,60,55,hydro pump
74,10,1,tackle
74,50,1,defense curl
74,100,6,mud sport
74,30,11,rock throw
74,90,16,magnitude
74,60,21,self destruct
74,80,26,rollout
74,110,31,rock blast
74,40,36,earthquake
74,70,41,explosion
74,20,46,double edge
75,10,1,tackle
75,30,1,rock throw
75,60,1,defense curl
75,110,1,mud sport
75,120,6,mud sport
75,40,11,rock throw
75,100,16,magnitude
75,70,21,self destruct
75,90,29,rollout
75,130,37,rock blast
75,50,45,earthquake
75,80,53,explosion
75,20,62,double edge
76,10,1,tackle
76,30,1,rock throw
76,60,1,defense curl
76,110,1,mud sport
76,120,6,mud sport
76,40,11,rock throw
76,100,16,magnitude
76,70,21,self destruct
76,90,29,rollout
76,130,37,rock blast
76,50,45,earthquake
76,80,53,explosion
76,20,62,double edge
77,80,1,quick attack
77,40,5,growl
77,30,9,tail whip
77,50,14,ember
77,10,19,stomp
77,60,25,fire spin
77,20,31,take down
77,70,38,agility
77,100,45,bounce
77,90,53,fire blast
78,40,1,tail whip
78,60,1,growl
78,80,1,ember
78,120,1,quick attack
78,70,5,growl
78,50,9,tail whip
78,90,14,ember
78,10,19,stomp
78,100,25,fire spin
78,30,31,take down
78,110,38,agility
78,20,40,fury attack
78,140,50,bounce
78,130,63,fire blast
79,20,1,tackle
79,90,1,curse
79,110,1,yawn
79,30,6,growl
79,50,13,water gun
79,60,17,confusion
79,40,24,disable
79,10,29,headbutt
79,80,36,amnesia
79,70,40,psychic
79,100,47,psych up
80,20,1,tackle
80,30,1,growl
80,110,1,curse
80,130,1,yawn
80,40,6,growl
80,60,13,water gun
80,70,17,confusion
80,50,24,disable
80,10,29,headbutt
80,100,36,amnesia
80,90,37,withdraw
80,80,44,psychic
80,120,55,psych up
81,10,1,tackle
81,110,1,metal sound
81,40,6,thunder shock
81,20,11,supersonic
81,30,16,sonic boom
81,50,21,thunder wave
81,100,26,spark
81,90,32,lock on
81,70,38,swift
81,60,44,screech
81,80,50,zap cannon
82,10,1,tackle
82,20,1,supersonic
82,50,1,thunder shock
82,130,1,metal sound
82,60,6,thunder shock
82,30,11,supersonic
82,40,16,sonic boom
82,70,21,thunder wave
82,120,26,spark
82,110,35,lock on
82,90,44,tri attack
82,80,53,screech
82,100,62,zap cannon
83,50,1,peck
83,20,6,sand attack
83,40,11,leer
83,30,16,fury attack
83,100,21,knock off
83,90,26,fury cutter
83,10,31,swords dance
83,60,36,agility
83,70,41,slash
83,80,46,false swipe
84,20,1,growl
84,30,1,peck
84,80,9,pursuit
84,10,13,fury attack
84,70,21,tri attack
84,60,25,rage
84,90,33,uproar
84,40,37,drill peck
84,50,45,agility
85,10,1,fury attack
85,30,1,growl
85,40,1,peck
85,90,1,pursuit
85,100,9,pursuit
85,20,13,fury attack
85,80,21,tri attack
85,70,25,rage
85,110,38,uproar
85,50,47,drill peck
85,60,60,agility
86,10,1,headbutt
86,30,9,growl
86,70,17,icy wind
86,50,21,aurora beam
86,60,29,rest
86,20,37,take down
86,40,41,ice beam
86,80,49,safeguard
87,10,1,headbutt
87,30,1,growl
87,60,1,aurora beam
87,90,1,icy wind
87,120,1,signal beam
87,40,9,growl
87,100,17,icy wind
87,70,21,aurora beam
87,80,29,rest
87,130,34,sheer cold
87,20,42,take down
87,50,51,ice beam
87,110,64,safeguard
88,10,1,pound
88,70,1,poison gas
88,40,4,harden
88,20,8,disable
88,60,13,sludge
88,50,19,minimize
88,30,26,screech
88,80,34,acid armor
88,90,43,sludge bomb
88,100,53,memento
89,10,1,pound
89,40,1,harden
89,80,1,poison gas
89,50,4,harden
89,20,8,disable
89,70,13,sludge
89,60,19,minimize
89,30,26,screech
89,90,34,acid armor
89,100,47,sludge bomb
89,110,61,memento
90,10,1,tackle
90,60,1,withdraw
90,90,8,icicle spear
90,30,15,supersonic
90,50,22,aurora beam
90,80,29,protect
90,20,36,leer
90,70,43,clamp
90,40,50,ice beam
91,10,1,supersonic
91,20,1,aurora beam
91,30,1,withdraw
91,50,1,protect
91,60,36,spikes
91,40,43,spike cannon
92,10,1,hypnosis
92,40,1,lick
92,80,8,spite
92,70,13,curse
92,20,16,night shade
92,30,21,confuse ray
92,50,28,dream eater
92,90,33,destiny bond
92,110,36,shadow ball
92,60,41,nightmare
92,100,48,mean look
93,10,1,hypnosis
93,40,1,lick
93,80,1,spite
93,90,8,spite
93,70,13,curse
93,20,16,night shade
93,30,21,confuse ray
93,130,25,shadow punch
93,50,31,dream eater
93,100,39,destiny bond
93,120,45,shadow ball
93,60,53,nightmare
93,110,64,mean look
94,10,1,hypnosis
94,40,1,lick
94,80,1,spite
94,90,8,spite
94,70,13,curse
94,20,16,night shade
94,30,21,confuse ray
94,130,25,shadow punch
94,50,31,dream eater
94,100,39,destiny bond
94,120,45,shadow ball
94,60,53,nightmare
94,110,64,mean look
95,30,1,tackle
95,70,1,screech
95,10,8,bind
95,50,12,rock throw
95,80,19,harden
95,60,23,rage
95,100,30,dragon breath
95,90,34,sandstorm
95,20,41,slam
95,110,45,iron tail
95,120,52,sand tomb
95,40,56,double edge
96,10,1,pound
96,60,1,hypnosis
96,30,7,disable
96,40,11,confusion
96,20,17,headbutt
96,80,21,poison gas
96,70,27,meditate
96,50,31,psychic
96,100,37,psych up
96,90,41,swagger
96,110,47,future sight
97,10,1,pound
97,30,1,disable
97,50,1,confusion
97,80,1,hypnosis
97,110,1,nightmare
97,40,7,disable
97,60,11,confusion
97,20,17,headbutt
97,100,21,poison gas
97,90,29,meditate
97,70,35,psychic
97,130,43,psych up
97,120,49,swagger
97,140,57,future sight
98,60,1,bubble
98,40,5,leer
98,10,12,vice grip
98,50,16,harden
98,100,23,mud shot
98,30,27,stomp
98,20,34,guillotine
98,90,38,protect
98,70,45,crabhammer
98,80,49,flail
99,10,1,vice grip
99,50,1,leer
99,70,1,harden
99,90,1,bubble
99,130,1,metal claw
99,60,5,leer
99,20,12,vice grip
99,80,16,harden
99,140,23,mud shot
99,40,27,stomp
99,30,38,guillotine
99,120,42,protect
99,100,57,crabhammer
99,110,65,flail
100,10,1,tackle
100,110,1,charge
100,30,8,screech
100,20,15,sonic boom
100,90,21,spark
100,50,27,self destruct
100,80,32,rollout
100,40,37,light screen
100,60,42,swift
100,70,46,explosion
100,100,49,mirror coat
101,10,1,tackle
101,20,1,sonic boom
101,40,1,screech
101,130,1,charge
101,50,8,screech
101,30,15,sonic boom
101,110,21,spark
101,70,27,self destruct
101,100,34,rollout
101,60,41,light screen
101,80,48,swift
101,90,54,explosion
101,120,59,mirror coat
102,70,1,hypnosis
102,90,1,barrage
102,100,1,uproar
102,80,7,reflect
102,10,13,leech seed
102,60,19,confusion
102,40,25,stun spore
102,30,31,poison powder
102,50,37,sleep powder
102,20,43,solar beam
103,20,1,confusion
103,30,1,hypnosis
103,50,1,barrage
103,10,19,stomp
103,40,31,egg bomb
104,60,1,growl
104,40,5,tail whip
104,90,9,bone club
104,10,13,headbutt
104,50,17,leer
104,80,21,focus energy
104,100,25,bonemerang
104,70,29,rage
104,120,33,false swipe
104,20,37,thrash
104,110,41,bone rush
104,30,45,double edge
105,10,1,headbutt
105,50,1,tail whip
105,80,1,growl
105,110,1,bone club
105,60,5,tail whip
105,120,9,bone club
105,20,13,headbutt
105,70,17,leer
105,100,21,focus energy
105,130,25,bonemerang
105,90,32,rage
105,150,39,false swipe
105,30,46,thrash
105,140,53,bone rush
105,40,61,double edge
106,10,1,double kick
106,120,1,revenge
106,50,6,meditate
106,40,11,rolling kick
106,30,16,jump kick
106,130,20,brick break
106,60,21,focus energy
106,70,26,high jump kick
106,80,31,mind reader
106,100,36,foresight
106,110,41,endure
106,20,46,mega kick
106,90,51,reversal
107,10,1,comet punch
107,110,1,revenge
107,70,7,agility
107,100,13,pursuit
107,80,20,mach punch
107,30,26,fire punch
107,40,26,ice punch
107,50,26,thunder punch
107,120,32,sky uppercut
107,20,38,mega punch
107,90,44,detect
107,60,50,counter
108,80,1,lick
108,40,7,supersonic
108,70,12,defense curl
108,90,18,knock off
108,20,23,stomp
108,30,29,wrap
108,50,34,disable
108,10,40,slam
108,60,45,screech
108,100,51,refresh
109,10,1,tackle
109,70,1,poison gas
109,50,9,smog
109,40,17,self destruct
109,60,21,sludge
109,20,25,smokescreen
109,30,33,haze
109,80,41,explosion
109,90,45,destiny bond
109,100,49,memento
110,10,1,tackle
110,40,1,self destruct
110,60,1,smog
110,90,1,poison gas
110,70,9,smog
110,50,17,self destruct
110,80,21,sludge
110,20,25,smokescreen
110,30,33,haze
110,100,44,explosion
110,110,51,destiny bond
110,120,58,memento
111,20,1,horn attack
111,60,1,tail whip
111,10,10,stomp
111,30,15,fury attack
111,80,24,scary face
111,100,29,rock blast
111,40,38,horn drill
111,50,43,take down
111,70,52,earthquake
111,90,57,megahorn
112,10,1,stomp
112,30,1,horn attack
112,40,1,fury attack
112,80,1,tail whip
112,20,10,stomp
112,50,15,fury attack
112,100,24,scary face
112,120,29,rock blast
112,60,38,horn drill
112,70,46,take down
112,90,58,earthquake
112,110,66,megahorn
113,10,1,pound
113,50,1,growl
113,40,5,tail whip
113,120,9,refresh
113,110,13,soft boiled
113,20,17,double slap
113,70,23,minimize
113,60,29,sing
113,100,35,egg bomb
113,80,41,defense curl
113,90,49,light screen
113,30,57,double edge
114,100,1,constrict
114,110,1,ingrain
114,90,4,sleep powder
114,40,10,absorb
114,60,13,growth
114,70,19,poison powder
114,30,22,vine whip
114,10,28,bind
114,50,31,mega drain
114,80,37,stun spore
114,20,40,slam
114,120,46,tickle
115,10,1,comet punch
115,40,1,leer
115,50,7,bite
115,30,13,tail whip
115,100,19,fake out
115,20,25,mega punch
115,60,31,rage
115,90,37,endure
115,70,43,dizzy punch
115,80,49,reversal
116,60,1,bubble
116,50,8,smokescreen
116,10,15,leer
116,20,22,water gun
116,70,29,twister
116,40,36,agility
116,30,43,hydro pump
116,80,50,dragon dance
117,10,1,leer
117,30,1,water gun
117,70,1,smokescreen
117,90,1,bubble
117,80,8,smokescreen
117,20,15,leer
117,40,22,water gun
117,100,29,twister
117,60,40,agility
117,50,51,hydro pump
117,110,62,dragon dance
118,40,1,tail whip
118,60,1,peck
118,110,1,water sport
118,50,10,supersonic
118,10,15,horn attack
118,90,24,flail
118,20,29,fury attack
118,80,38,waterfall
118,30,43,horn drill
118,70,52,agility
118,100,57,megahorn
119,40,1,tail whip
119,50,1,supersonic
119,70,1,peck
119,120,1,water sport
119,60,10,supersonic
119,10,15,horn attack
119,100,24,flail
119,20,29,fury attack
119,90,41,waterfall
119,30,49,horn drill
119,80,61,agility
119,110,69,megahorn
120,10,1,tackle
120,60,1,harden
120,20,6,water gun
120,100,10,rapid spin
120,50,15,recover
120,110,19,camouflage
120,90,24,swift
120,40,28,bubble beam
120,70,33,minimize
120,80,37,light screen
120,120,42,cosmic power
120,30,46,hydro pump
121,10,1,water gun
121,20,1,recover
121,40,1,swift
121,50,1,rapid spin
121,30,33,confuse ray
122,60,1,barrier
122,30,5,confusion
122,90,8,substitute
122,50,12,meditate
122,10,15,double slap
122,70,19,light screen
122,80,19,reflect
122,160,22,magical leaf
122,120,26,encore
122,20,29,psybeam
122,150,33,recycle
122,130,36,trick
122,140,40,role play
122,40,43,psychic
122,110,47,baton pass
122,100,50,safeguard
123,30,1,leer
123,50,1,quick attack
123,70,6,focus energy
123,110,11,pursuit
123,90,16,false swipe
123,40,21,agility
123,20,26,wing attack
123,80,31,slash
123,10,36,swords dance
123,60,41,double team
123,100,46,fury cutter
124,10,1,pound
124,60,1,lick
124,70,1,lovely kiss
124,90,1,powder snow
124,80,9,lovely kiss
124,100,13,powder snow
124,20,21,double slap
124,30,25,ice punch
124,120,35,mean look
124,130,41,fake tears
124,40,51,body slam
124,110,57,perish song
124,50,67,blizzard
125,10,1,thunder punch
125,30,1,leer
125,60,1,quick attack
125,20,9,thunder punch
125,80,17,light screen
125,90,25,swift
125,70,36,screech
125,40,47,thunderbolt
125,50,58,thunder
126,10,1,fire punch
126,30,1,leer
126,50,1,ember
126,90,1,smog
126,40,7,leer
126,100,13,smog
126,20,19,fire punch
126,70,25,smokescreen
126,120,33,sunny day
126,60,41,flamethrower
126,80,49,confuse ray
126,110,57,fire blast
127,10,1,vice grip
127,80,1,focus energy
127,40,7,bind
127,60,13,seismic toss
127,70,19,harden
127,90,25,revenge
127,100,31,brick break
127,20,37,guillotine
127,50,43,submission
127,30,49,swords dance
128,20,1,tackle
128,50,1,tail whip
128,60,4,rage
128,10,8,horn attack
128,80,13,scary face
128,100,19,pursuit
128,90,26,swagger
128,70,34,rest
128,40,43,thrash
128,30,53,take down
129,20,1,splash
129,10,15,tackle
129,30,30,flail
130,10,1,thrash
130,30,20,bite
130,60,25,dragon rage
130,20,30,leer
130,70,35,twister
130,40,40,hydro pump
130,80,45,rain dance
130,90,50,dragon dance
130,50,55,hyper beam
131,20,1,growl
131,30,1,sing
131,50,1,water gun
131,40,7,mist
131,10,13,body slam
131,80,19,confuse ray
131,90,25,perish song
131,70,31,ice beam
131,110,37,rain dance
131,100,43,safeguard
131,60,49,hydro pump
131,120,55,sheer cold
132,10,1,transform
133,20,1,tackle
133,40,1,tail whip
133,90,1,helping hand
133,10,8,sand attack
133,60,16,growl
133,70,23,quick attack
133,50,30,bite
133,80,36,baton pass
133,30,42,take down
