location_id,pokemon_id,method,rate,min_level,max_level,postgame_only
kanto_route_11_area,21,くさむら,20%,15,15,false
kanto_route_11_area,21,くさむら,10%,13,13,false
kanto_route_11_area,21,くさむら,5%,17,17,false
kanto_route_16_area,21,くさむら,20%,20,20,false
kanto_route_16_area,21,くさむら,10%,22,22,false
kanto_route_17_area,21,くさむら,20%,20,20,false
kanto_route_17_area,21,くさむら,10%,22,22,false
kanto_route_18_area,21,くさむら,20%,20,20,false
kanto_route_18_area,21,くさむら,10%,22,22,false
kanto_route_22_area,21,くさむら,5%,3,3,false
kanto_route_22_area,21,くさむら,5%,5,5,false
kanto_route_23_area,21,くさむら,10%,34,34,false
kanto_route_23_area,21,くさむら,4%,32,32,false
kanto_route_23_area,21,くさむら,1%,32,32,false
mt_ember_area,21,くさむら,10%,32,32,false
mt_ember_area,21,くさむら,4%,30,30,false
mt_ember_area,21,くさむら,1%,30,30,false
kindle_road_area,21,くさむら,20%,32,32,false
kindle_road_area,21,くさむら,5%,30,30,false
treasure_beach_area,21,くさむら,20%,32,32,false
treasure_beach_area,21,くさむら,10%,31,31,false
cape_brink_area,21,くさむら,20%,31,31,false
water_path_area,21,くさむら,20%,44,44,false
ruin_valley_area,21,くさむら,20%,44,44,false
canyon_entrance_area,21,くさむら,20%,44,44,false
kanto_route_17_area,22,くさむら,4%,25,25,false
kanto_route_17_area,22,くさむら,1%,27,27,false
kanto_route_18_area,22,くさむら,10%,25,25,false
kanto_route_18_area,22,くさむら,4%,27,27,false
kanto_route_18_area,22,くさむら,1%,29,29,false
kanto_route_23_area,22,くさむら,20%,40,40,false
kanto_route_23_area,22,くさむら,4%,42,42,false
kanto_route_23_area,22,くさむら,1%,44,44,false
mt_ember_area,22,くさむら,20%,38,38,false
mt_ember_area,22,くさむら,5%,40,40,false
kindle_road_area,22,くさむら,10%,36,36,false
treasure_beach_area,22,くさむら,10%,36,36,false
treasure_beach_area,22,くさむら,5%,38,38,false
treasure_beach_area,22,くさむら,4%,40,40,false
treasure_beach_area,22,くさむら,1%,40,40,false
cape_brink_area,22,くさむら,10%,36,36,false
water_path_area,22,くさむら,10%,48,48,false
water_path_area,22,くさむら,4%,50,50,false
water_path_area,22,くさむら,1%,50,50,false
ruin_valley_area,22,くさむら,10%,49,49,false
canyon_entrance_area,22,くさむら,10%,48,48,false
canyon_entrance_area,22,くさむら,5%,50,50,false
sevault_canyon_area,22,くさむら,10%,50,50,false
kanto_route_4_area,23,くさむら,10%,6,6,false
kanto_route_4_area,23,くさむら,10%,10,10,false
kanto_route_4_area,23,くさむら,4%,8,8,false
kanto_route_4_area,23,くさむら,1%,12,12,false
kanto_route_8_area,23,くさむら,10%,17,17,false
kanto_route_8_area,23,くさむら,5%,19,19,false
kanto_route_8_area,23,くさむら,4%,17,17,false
kanto_route_8_area,23,くさむら,1%,17,17,false
kanto_route_9_area,23,くさむら,10%,11,11,false
kanto_route_9_area,23,くさむら,10%,15,15,false
kanto_route_9_area,23,くさむら,4%,13,13,false
kanto_route_9_area,23,くさむら,1%,17,17,false
kanto_route_10_area,23,くさむら,10%,11,11,false
kanto_route_10_area,23,くさむら,10%,15,15,false
kanto_route_10_area,23,くさむら,4%,13,13,false
kanto_route_10_area,23,くさむら,1%,17,17,false
kanto_route_11_area,23,くさむら,20%,14,14,false
kanto_route_11_area,23,くさむら,10%,12,12,false
kanto_route_11_area,23,くさむら,5%,15,15,false
kanto_route_11_area,23,くさむら,4%,12,12,false
kanto_route_11_area,23,くさむら,1%,12,12,false
kanto_route_23_area,23,くさむら,10%,32,32,false
kanto_route_23_area,23,くさむら,10%,34,34,false
kanto_route_23_area,24,くさむら,5%,44,44,false
kanto_victory_road_2_1f,24,くさむら,5%,44,44,false
kanto_victory_road_2_2f,24,くさむら,5%,46,46,false
kanto_victory_road_2_3f,24,くさむら,5%,44,44,false
viridian_forest_area,25,くさむら,4%,3,3,false
viridian_forest_area,25,くさむら,1%,5,5,false
power_plant_area,25,くさむら,10%,22,22,false
power_plant_area,25,くさむら,10%,24,24,false
power_plant_area,25,くさむら,4%,26,26,false
power_plant_area,25,くさむら,1%,26,26,false
kanto_pokecenter_area,25,colosseum-bonus-disc-jpn,100%,10,10,false
kanto_route_3_area,29,くさむら,1%,6,6,false
kanto_safari_zone_area_1_east,29,くさむら,5%,24,24,false
kanto_safari_zone_area_3_west,29,くさむら,5%,30,30,false
kanto_safari_zone_middle,30,くさむら,5%,31,31,false
kanto_safari_zone_area_2_north,30,くさむら,5%,30,30,false
kanto_route_3_area,32,くさむら,10%,6,6,false
kanto_route_3_area,32,くさむら,4%,7,7,false
kanto_safari_zone_middle,32,くさむら,20%,22,22,false
kanto_safari_zone_area_1_east,32,くさむら,20%,24,24,false
kanto_safari_zone_area_2_north,32,くさむら,20%,30,30,false
kanto_safari_zone_area_3_west,32,くさむら,20%,22,22,false
kanto_safari_zone_middle,33,くさむら,10%,31,31,false
kanto_safari_zone_area_1_east,33,くさむら,10%,33,33,false
kanto_safari_zone_area_2_north,33,くさむら,10%,30,30,false
kanto_safari_zone_area_3_west,33,くさむら,10%,30,30,false
mt_moon_1f,35,くさむら,1%,8,8,false
mt_moon_b2f,35,くさむら,5%,10,10,false
mt_moon_b2f,35,くさむら,1%,12,12,false
celadon_city_prize_corner,35,もらう,100%,8,8,false
kanto_route_3_area,39,くさむら,5%,3,3,false
kanto_route_3_area,39,くさむら,4%,5,5,false
kanto_route_3_area,39,くさむら,1%,7,7,false
seafoam_islands_1f,41,くさむら,10%,22,22,false
seafoam_islands_1f,41,くさむら,10%,22,22,false
seafoam_islands_1f,41,くさむら,10%,24,24,false
seafoam_islands_1f,41,くさむら,4%,26,26,false
seafoam_islands_b1f,41,くさむら,10%,22,22,false
seafoam_islands_b1f,41,くさむら,10%,22,22,false
seafoam_islands_b1f,41,くさむら,10%,24,24,false
seafoam_islands_b1f,41,くさむら,4%,26,26,false
seafoam_islands_b2f,41,くさむら,10%,22,22,false
seafoam_islands_b2f,41,くさむら,10%,24,24,false
seafoam_islands_b3f,41,くさむら,10%,24,24,false
mt_moon_1f,41,くさむら,20%,7,7,false
mt_moon_1f,41,くさむら,20%,8,8,false
mt_moon_1f,41,くさむら,10%,9,9,false
mt_moon_1f,41,くさむら,10%,10,10,false
mt_moon_1f,41,くさむら,4%,7,7,false
mt_moon_1f,41,くさむら,4%,7,7,false
mt_moon_1f,41,くさむら,1%,7,7,false
rock_tunnel_1f,41,くさむら,20%,15,15,false
rock_tunnel_1f,41,くさむら,10%,16,16,false
rock_tunnel_b1f,41,くさむら,20%,16,16,false
rock_tunnel_b1f,41,くさむら,10%,15,15,false
mt_moon_b2f,41,くさむら,20%,8,8,false
mt_moon_b2f,41,くさむら,10%,9,9,false
mt_moon_b2f,41,くさむら,10%,10,10,false
mt_moon_b2f,41,くさむら,4%,11,11,false
mt_moon_b2f,41,くさむら,4%,11,11,false
mt_moon_b2f,41,くさむら,1%,11,11,false
kanto_victory_road_2_1f,41,くさむら,10%,32,32,false
kanto_victory_road_2_2f,41,くさむら,10%,34,34,false
kanto_victory_road_2_3f,41,くさむら,10%,32,32,false
icefall_cave_entrance,41,くさむら,10%,40,40,false
icefall_cave_1f,41,くさむら,10%,40,40,false
icefall_cave_b1f,41,くさむら,10%,40,40,false
icefall_cave_waterfall,41,くさむら,10%,40,40,false
lost_cave_room_1,41,くさむら,20%,37,37,false
lost_cave_room_2,41,くさむら,20%,37,37,false
lost_cave_room_3,41,くさむら,20%,37,37,false
lost_cave_room_4,41,くさむら,20%,37,37,false
lost_cave_room_5,41,くさむら,20%,37,37,false
lost_cave_room_6,41,くさむら,20%,37,37,false
lost_cave_room_7,41,くさむら,20%,37,37,false
lost_cave_room_8,41,くさむら,20%,37,37,false
lost_cave_room_9,41,くさむら,20%,37,37,false
lost_cave_room_10,41,くさむら,20%,37,37,false
lost_cave_item_rooms,41,くさむら,20%,37,37,false
kanto_altering_cave_a,41,くさむら,20%,10,10,false
kanto_altering_cave_a,41,くさむら,20%,12,12,false
kanto_altering_cave_a,41,くさむら,10%,8,8,false
kanto_altering_cave_a,41,くさむら,10%,14,14,false
kanto_altering_cave_a,41,くさむら,10%,10,10,false
kanto_altering_cave_a,41,くさむら,10%,12,12,false
kanto_altering_cave_a,41,くさむら,5%,16,16,false
kanto_altering_cave_a,41,くさむら,5%,6,6,false
kanto_altering_cave_a,41,くさむら,4%,8,8,false
kanto_altering_cave_a,41,くさむら,4%,14,14,false
kanto_altering_cave_a,41,くさむら,1%,8,8,false
kanto_altering_cave_a,41,くさむら,1%,14,14,false
seafoam_islands_1f,42,くさむら,5%,26,26,false
seafoam_islands_1f,42,くさむら,5%,28,28,false
seafoam_islands_1f,42,くさむら,1%,30,30,false
seafoam_islands_b1f,42,くさむら,5%,26,26,false
seafoam_islands_b1f,42,くさむら,5%,28,28,false
seafoam_islands_b1f,42,くさむら,1%,30,30,false
seafoam_islands_b2f,42,くさむら,5%,26,26,false
seafoam_islands_b2f,42,くさむら,4%,28,28,false
seafoam_islands_b2f,42,くさむら,1%,30,30,false
seafoam_islands_b3f,42,くさむら,5%,26,26,false
seafoam_islands_b3f,42,くさむら,4%,28,28,false
seafoam_islands_b3f,42,くさむら,1%,30,30,false
seafoam_islands_b4f,42,くさむら,10%,26,26,false
seafoam_islands_b4f,42,くさむら,4%,28,28,false
seafoam_islands_b4f,42,くさむら,1%,30,30,false
cerulean_cave_1f,42,くさむら,10%,46,46,false
cerulean_cave_1f,42,くさむら,4%,55,55,false
cerulean_cave_2f,42,くさむら,20%,49,49,false
cerulean_cave_2f,42,くさむら,5%,58,58,false
cerulean_cave_b1f,42,くさむら,10%,52,52,false
cerulean_cave_b1f,42,くさむら,1%,61,61,false
kanto_victory_road_2_1f,42,くさむら,5%,44,44,false
kanto_victory_road_2_2f,42,くさむら,5%,46,46,false
kanto_victory_road_2_3f,42,くさむら,5%,44,44,false
icefall_cave_entrance,42,くさむら,20%,45,45,false
icefall_cave_entrance,42,くさむら,4%,48,48,false
icefall_cave_entrance,42,くさむら,1%,48,48,false
icefall_cave_1f,42,くさむら,20%,45,45,false
icefall_cave_1f,42,くさむら,4%,48,48,false
icefall_cave_1f,42,くさむら,1%,48,48,false
icefall_cave_b1f,42,くさむら,20%,45,45,false
icefall_cave_b1f,42,くさむら,4%,48,48,false
icefall_cave_b1f,42,くさむら,1%,48,48,false
icefall_cave_waterfall,42,くさむら,20%,45,45,false
icefall_cave_waterfall,42,くさむら,4%,48,48,false
icefall_cave_waterfall,42,くさむら,1%,48,48,false
lost_cave_room_1,42,くさむら,10%,41,41,false
lost_cave_room_1,42,くさむら,10%,43,43,false
lost_cave_room_2,42,くさむら,10%,41,41,false
lost_cave_room_2,42,くさむら,10%,43,43,false
lost_cave_room_3,42,くさむら,10%,41,41,false
lost_cave_room_3,42,くさむら,10%,43,43,false
lost_cave_room_4,42,くさむら,10%,41,41,false
lost_cave_room_4,42,くさむら,10%,43,43,false
lost_cave_room_5,42,くさむら,10%,41,41,false
lost_cave_room_5,42,くさむら,10%,43,43,false
lost_cave_room_6,42,くさむら,10%,41,41,false
lost_cave_room_6,42,くさむら,10%,43,43,false
lost_cave_room_7,42,くさむら,10%,41,41,false
lost_cave_room_7,42,くさむら,10%,43,43,false
lost_cave_room_8,42,くさむら,10%,41,41,false
lost_cave_room_8,42,くさむら,10%,43,43,false
lost_cave_room_9,42,くさむら,10%,41,41,false
lost_cave_room_9,42,くさむら,10%,43,43,false
lost_cave_room_10,42,くさむら,10%,41,41,false
lost_cave_room_10,42,くさむら,10%,43,43,false
lost_cave_item_rooms,42,くさむら,10%,41,41,false
kanto_route_12_area,43,くさむら,20%,24,24,false
kanto_route_12_area,43,くさむら,10%,22,22,false
kanto_route_12_area,43,くさむら,5%,26,26,false
kanto_route_5_area,43,くさむら,10%,13,13,false
kanto_route_5_area,43,くさむら,10%,15,15,false
kanto_route_5_area,43,くさむら,5%,16,16,false
kanto_route_6_area,43,くさむら,10%,13,13,false
kanto_route_6_area,43,くさむら,10%,15,15,false
kanto_route_6_area,43,くさむら,5%,16,16,false
kanto_route_7_area,43,くさむら,10%,19,19,false
kanto_route_7_area,43,くさむら,10%,22,22,false
kanto_route_13_area,43,くさむら,20%,24,24,false
kanto_route_13_area,43,くさむら,10%,22,22,false
kanto_route_13_area,43,くさむら,5%,26,26,false
kanto_route_14_area,43,くさむら,20%,24,24,false
kanto_route_14_area,43,くさむら,10%,22,22,false
kanto_route_14_area,43,くさむら,5%,26,26,false
kanto_route_15_area,43,くさむら,20%,24,24,false
kanto_route_15_area,43,くさむら,10%,22,22,false
kanto_route_15_area,43,くさむら,5%,26,26,false
kanto_route_24_area,43,くさむら,10%,12,12,false
kanto_route_24_area,43,くさむら,10%,13,13,false
kanto_route_24_area,43,くさむら,5%,14,14,false
kanto_route_25_area,43,くさむら,10%,14,14,false
kanto_route_25_area,43,くさむら,10%,13,13,false
kanto_route_25_area,43,くさむら,5%,12,12,false
berry_forest_area,43,くさむら,10%,30,30,false
cape_brink_area,43,くさむら,20%,30,30,false
cape_brink_area,43,くさむら,10%,32,32,false
bond_bridge_area,43,くさむら,20%,31,31,false
water_path_area,43,くさむら,10%,44,44,false
kanto_route_12_area,44,くさむら,4%,28,28,false
kanto_route_12_area,44,くさむら,1%,30,30,false
kanto_route_13_area,44,くさむら,4%,28,28,false
kanto_route_13_area,44,くさむら,1%,30,30,false
kanto_route_14_area,44,くさむら,5%,30,30,false
kanto_route_15_area,44,くさむら,4%,28,28,false
kanto_route_15_area,44,くさむら,1%,30,30,false
berry_forest_area,44,くさむら,20%,35,35,false
cape_brink_area,44,くさむら,10%,36,36,false
cape_brink_area,44,くさむら,5%,38,38,false
bond_bridge_area,44,くさむら,10%,36,36,false
water_path_area,44,くさむら,5%,48,48,false
mt_moon_1f,46,くさむら,5%,8,8,false
mt_moon_b1f,46,くさむら,20%,7,7,false
mt_moon_b1f,46,くさむら,20%,8,8,false
mt_moon_b1f,46,くさむら,10%,5,5,false
mt_moon_b1f,46,くさむら,10%,6,6,false
mt_moon_b1f,46,くさむら,10%,9,9,false
mt_moon_b1f,46,くさむら,10%,10,10,false
mt_moon_b1f,46,くさむら,5%,7,7,false
mt_moon_b1f,46,くさむら,5%,8,8,false
mt_moon_b1f,46,くさむら,4%,5,5,false
mt_moon_b1f,46,くさむら,4%,6,6,false
mt_moon_b1f,46,くさむら,1%,9,9,false
mt_moon_b1f,46,くさむら,1%,10,10,false
mt_moon_b2f,46,くさむら,10%,10,10,false
mt_moon_b2f,46,くさむら,5%,12,12,false
kanto_safari_zone_area_1_east,46,くさむら,10%,22,22,false
kanto_safari_zone_area_1_east,46,くさむら,4%,22,22,false
kanto_safari_zone_area_1_east,46,くさむら,1%,22,22,false
kanto_safari_zone_area_2_north,46,くさむら,10%,23,23,false
kanto_safari_zone_area_2_north,46,くさむら,4%,23,23,false
kanto_safari_zone_area_2_north,46,くさむら,1%,23,23,false
cerulean_cave_1f,47,くさむら,20%,49,49,false
cerulean_cave_1f,47,くさむら,5%,58,58,false
cerulean_cave_2f,47,くさむら,10%,52,52,false
cerulean_cave_2f,47,くさむら,4%,61,61,false
cerulean_cave_b1f,47,くさむら,10%,55,55,false
cerulean_cave_b1f,47,くさむら,4%,64,64,false
kanto_safari_zone_middle,47,くさむら,5%,30,30,false
kanto_safari_zone_area_1_east,47,くさむら,5%,25,25,false
kanto_route_12_area,48,くさむら,20%,24,24,false
kanto_route_12_area,48,くさむら,10%,26,26,false
kanto_route_13_area,48,くさむら,20%,24,24,false
kanto_route_13_area,48,くさむら,10%,26,26,false
kanto_route_14_area,48,くさむら,20%,24,24,false
kanto_route_14_area,48,くさむら,10%,26,26,false
kanto_route_15_area,48,くさむら,20%,24,24,false
kanto_route_15_area,48,くさむら,10%,26,26,false
kanto_safari_zone_middle,48,くさむら,10%,22,22,false
kanto_safari_zone_middle,48,くさむら,4%,22,22,false
kanto_safari_zone_middle,48,くさむら,1%,22,22,false
kanto_safari_zone_area_3_west,48,くさむら,10%,23,23,false
kanto_safari_zone_area_3_west,48,くさむら,4%,23,23,false
kanto_safari_zone_area_3_west,48,くさむら,1%,23,23,false
berry_forest_area,48,くさむら,10%,34,34,false
bond_bridge_area,48,くさむら,5%,34,34,false
kanto_safari_zone_area_2_north,49,くさむら,5%,32,32,false
kanto_safari_zone_area_3_west,49,くさむら,5%,32,32,false
berry_forest_area,49,くさむら,4%,37,37,false
berry_forest_area,49,くさむら,1%,40,40,false
digletts_cave_area,50,くさむら,20%,18,18,false
digletts_cave_area,50,くさむら,20%,19,19,false
digletts_cave_area,50,くさむら,10%,17,17,false
digletts_cave_area,50,くさむら,10%,15,15,false
digletts_cave_area,50,くさむら,10%,16,16,false
digletts_cave_area,50,くさむら,10%,20,20,false
digletts_cave_area,50,くさむら,5%,21,21,false
digletts_cave_area,50,くさむら,5%,22,22,false
digletts_cave_area,50,くさむら,4%,17,17,false
digletts_cave_area,50,くさむら,1%,17,17,false
digletts_cave_area,51,くさむら,4%,29,29,false
digletts_cave_area,51,くさむら,1%,31,31,false
kanto_route_5_area,52,くさむら,20%,10,10,false
kanto_route_5_area,52,くさむら,10%,12,12,false
kanto_route_5_area,52,くさむら,4%,14,14,false
kanto_route_5_area,52,くさむら,1%,16,16,false
kanto_route_6_area,52,くさむら,20%,10,10,false
kanto_route_6_area,52,くさむら,10%,12,12,false
kanto_route_6_area,52,くさむら,4%,14,14,false
kanto_route_6_area,52,くさむら,1%,16,16,false
kanto_route_7_area,52,くさむら,20%,17,17,false
kanto_route_7_area,52,くさむら,10%,18,18,false
kanto_route_7_area,52,くさむら,4%,17,17,false
kanto_route_7_area,52,くさむら,4%,19,19,false
kanto_route_7_area,52,くさむら,1%,17,17,false
kanto_route_7_area,52,くさむら,1%,20,20,false
kanto_route_8_area,52,くさむら,20%,18,18,false
kanto_route_8_area,52,くさむら,10%,20,20,false
kindle_road_area,52,くさむら,10%,31,31,false
treasure_beach_area,52,くさむら,10%,31,31,false
cape_brink_area,52,くさむら,10%,31,31,false
bond_bridge_area,52,くさむら,10%,31,31,false
five_isle_meadow_area,52,くさむら,10%,41,41,false
water_path_area,52,くさむら,10%,41,41,false
ruin_valley_area,52,くさむら,10%,43,43,false
canyon_entrance_area,52,くさむら,10%,41,41,false
sevault_canyon_area,52,くさむら,10%,43,43,false
kindle_road_area,53,くさむら,4%,37,37,false
kindle_road_area,53,くさむら,1%,40,40,false
treasure_beach_area,53,くさむら,4%,37,37,false
treasure_beach_area,53,くさむら,1%,40,40,false
cape_brink_area,53,くさむら,4%,37,37,false
cape_brink_area,53,くさむら,1%,40,40,false
bond_bridge_area,53,くさむら,4%,37,37,false
bond_bridge_area,53,くさむら,1%,40,40,false
five_isle_meadow_area,53,くさむら,4%,47,47,false
five_isle_meadow_area,53,くさむら,1%,50,50,false
water_path_area,53,くさむら,4%,47,47,false
water_path_area,53,くさむら,1%,50,50,false
ruin_valley_area,53,くさむら,4%,49,49,false
ruin_valley_area,53,くさむら,1%,52,52,false
canyon_entrance_area,53,くさむら,4%,47,47,false
canyon_entrance_area,53,くさむら,1%,50,50,false
sevault_canyon_area,53,くさむら,4%,49,49,false
sevault_canyon_area,53,くさむら,1%,52,52,false
seafoam_islands_1f,54,くさむら,20%,27,27,false
seafoam_islands_1f,54,くさむら,20%,29,29,false
